编号,汉字,拼音,声母,韵母,笔画,部首,多音字,姓氏,含义
2861,献,xiàn,x,ian,13,犬,否,否,"(会意。从犬,鬳(yàn)声。“犬”代表进献之物。本义:献祭)；同本义；下对上、卑对尊的进献；呈现;现露；进；古时特指主人向宾客敬酒；庆贺；熟知历史掌故的人；进献的东西"
2862,椿,chūn,ch,un,13,木,否,否,同本义
2863,禁,jīn / jìn,j,in,13,示,是,否,"胜任,承受得起"
2864,楚,chǔ,ch,u,13,木,否,是,"(形声。从林,疋(shū)声。本义:灌木名。又名荆,牡荆)；同本义 。落叶灌木,开青色或紫色的穗状小花,鲜叶可入药,或小乔木,枝干坚韧,可做杖；周朝时国名；周代诸侯国,战国时七雄之一。熊绎受封于周成王,立国于荆山一带,都丹阳(今湖北秭归东南)。周人称为荆蛮。后建都于郢(今湖北江陵西北纪王城)。春秋战国时国势强盛,疆域由湖北、湖南扩展到今河南、安徽、江苏、浙江、江西和四川。战国末,屡败于秦,公元前223年为秦所灭；秦楚之际,陈胜在陈县(今河南淮阳)建立张楚政权,自号楚王;汉元年,项羽自立为西楚霸王,都下邳(今江苏睢宁西北),汉六年,国除；五代十国之一。马殷据今湖南,都长沙,称楚王。后为南唐所灭；酸辛痛苦；齐整;清晰；鲜艳,华丽；拷打；姓"
2865,楷,kǎi / jiē,k,ai,13,木,是,否,"(形声。从木,皆声。 ①(jiē)本义:木名。即“黄连木”。楷树枝干疏而不屈,因以形容刚直 ②法式,典范)；法式,典范；姓"
2866,榄,lǎn,l,an,13,木,否,否,木名。橄榄的省称
2867,想,xiǎnɡ,x,ianɡ,13,心,否,否,"(形声。心形相声。本义:想念;怀念;羡慕)；同本义；思考,思索；希望,想要；料想;猜想；想象；好像,如同；怀念、回想"
2868,槐,huái,h,uai,13,木,否,否,"(形声。从木,鬼声。本义:木名。槐树)"
2869,榆,yú,y,u,13,木,否,否,榆树
2870,楼,lóu,l,ou,13,木,否,否,"(形声。从木,娄声。本义:楼房,两层以上的房屋)；同本义；楼房的一层；建筑在高处的建筑物 。如:楼子(楼阁);楼榭(高台之上的房屋,泛指楼房);楼堞(城楼上的矮墙)。又指有上层的车船,其上层也叫楼。如:楼车(古代战车。上设望楼);楼舟工(楼船)"
2871,概,ɡài,,ɡai,13,木,否,否,"(形声。从木,既声。本义:量米粟时刮平斗斛(hú)用的木板。量米粟时,放在斗斛上刮平,不使过满)；同本义；节操,风度；景象;状况；引申为刮平,不使过量；衡量;量,限量；灌溉,洗涤；又如;概盂(洗涤盂钵)；感慨；一律,一概"
2872,赖,lài,l,ai,13,贝,否,是,"(形声。从贝,剌(là)声。本义:得益;赢利)；同本义；依靠;依赖;依恃、凭藉；又；懒惰；利;好处；姓"
2873,酪,lào,l,ao,13,酉,否,否,"(形声。从酉(yǒu),各声。本义:乳酪)"
2874,酬,chóu,ch,ou,13,酉,否,否,"(形声。从酉,夀声。本义:客人给主人祝酒后,主人再次给客人敬酒作答)；同本义；酬答,报答；应对;对答"
2875,感,ɡǎn,,ɡan,13,心,否,否,"(形声。从心,咸声。本义:感动)；同本义。思想感情受外界事物的影响而激动；感应,影响；感触;触动感慨；感谢;感激；感慨,感伤；思念；感染,感受。多用于疾病；迷惑；(jiǎn)。减损,减少"
2876,碍,ài,,ai,13,石,否,否,"(形声。从石,疑声。本义:妨碍,阻挡)；同本义；遮蔽;掩盖；牵挂"
2877,碘,diǎn,d,ian,13,石,否,否,"一种非金属一价和多价元素,原子序数53,属于卤素,主要用于医药(例如用于抗菌、治疗呆小病和甲状腺肿)、照相和分析 ——元素符号I"
2878,碑,bēi,b,ei,13,石,否,否,"(形声。从石,卑声。本义:古时宫、庙门前用来观测日影及拴牲畜的竖石)；竖石；石碑。石上刻着文字,作为纪念物或标记,也用以刻文告。秦代称刻石,汉以后称碑"
2879,碎,suì,s,ui,13,石,否,否,"(形声。从石,卒声。“石”是汉字部首之一,从“石”的字与石头有关。本义:破碎)；同本义；琐细;繁杂；零星;细小"
2880,碰,pènɡ,p,enɡ,13,石,否,否,"(形声。从石,并声。本义:两物相触或相撞)；同本义；触犯"
2881,碗,wǎn,w,an,11,日,否,否,"一种圆形凹心盛食品的器具,在形式上通常接近半球形,一般比盘子深,比茶杯大和重；用来计量用碗装的饮食；宋朝以来灯笼一盏叫一碗"
2882,碌,lù / liù,l,u,13,石,是,否,"(形声。从石,录声。本义:石青色)；小石；矿物名；平庸无能；繁忙；哆嗦,颤动"
2883,尴,ɡān,,ɡan,13,尢,否,否,a.处境窘困，不易处理。b.神色、态度不正常；尴尬的局面
2884,雷,léi,l,ei,13,雨,否,是,"(象形。甲骨文,中间象闪电,圆圈和小点表示雷声。整个字形象雷声和闪电相伴而作。小篆变成了会意字,从雨,下象雷声相连之形,表示打雷下雨。本义:云层放电时发出的巨响)；同本义；剧响,巨大声响 ；古酒器名；打雷；,敲击；姓"
2885,零,línɡ,l,inɡ,13,雨,否,否,"(形声。从雨,令声。本义:下雨。指落细雨)；同本义；引申为如雨一般地落下;降落；凋零,凋落；比喻人死亡或到暮年；零碎,零散；表示没有数量；假借为“灵”。神灵；姓"
2886,雾,wù,w,u,13,雨,否,否,"接近地面的水蒸气，遇冷凝结后飘浮在空气中的小水点。与云的区别只是雾较贴近地面;有时区别于霭的是不太透明；比喻轻细的；比喻浓密的；比喻头发的堆卷盘旋,有如雾气的舒腾"
2887,雹,báo,b,ao,13,雨,否,否,"(形声。从雨,包声。本义:冰雹) 同本义"
2888,辐,fú,f,u,13,车,否,否,"(形声。从车,畐(fú)声。“畐”有“腹满”义(参“福”字条),而“辐”为圆形,与人腹满之形相类,因而“畐”在字中亦兼有表义作用。本义:辐条。插入轮毂以支撑轮圈的细条)；同本义"
2889,辑,jí,j,i,13,车,否,否,"(形声。本义:车箱)；同本义。泛指车子；聚集；敛,拖着不使脱落；把各种来源的书面材料或项目经加工汇编成一个文件或一册,汇编成一套文件或丛书；连缀；和谐,和睦"
2890,输,shū,sh,u,13,车,否,否,"(形声。从车,俞声。本义:转运,运送)；同本义；交出;缴纳；传达,表达；报告;告诉；灌输;灌注；堕;堕坏；负,失败；不及,赶不上"
2891,督,dū,d,u,13,目,否,是,"(形声。从目,叔声。本义:察看督促,监督)；同本义；统率,指挥；统帅诸军的将领；姓"
2892,频,pín / bīn,p,in,13,页,是,否,"(会意。从步,从页。页(xié):人头。《说文》认为步是“涉”的省略。人将要渡河,见水深,皱眉而止。本义:皱眉)；同本义；接近;临近；重复,连续；危急;紧急；假借为“滨”。水边；屡次;频繁；姓"
2893,龄,línɡ,l,inɡ,13,齿,否,否,"(形声。从齿,令声。从牙齿来看年龄的长幼,所以从“齿”。本义:年龄)；同本义；年限;年数"
2894,鉴,jiàn,j,ian,13,金,否,否,"(形声。从金,监声。本义:古代用来盛水或冰的青铜大盆)；同本义；借鉴,可以作为警戒或引为教训的事；明察,审查；借鉴,鉴戒"
2895,睛,jīnɡ,j,inɡ,13,目,否,否,"(形声。从目,青声。本义:眼珠)；同本义；眼睛；视力"
2896,睹,dǔ,d,u,13,目,否,否,"(形声。从目,者声。本义:见,看见)；同本义；察看；明白;懂得"
2897,睦,mù,m,u,13,目,否,否,"(形声。从目,坴(lù)声。本义:和好,亲近)；同本义；古州名。睦州的简称；隋置。故地在今湖北省长阳县东；隋置。故地在今浙江省淳安县西"
2898,瞄,miáo,m,iao,13,目,否,否,"(形声。从目,苗声。本义:注视目标;视力集中到一点上)"
2899,睫,jié,j,ie,13,目,否,否,"(形声。从目,疌(jié)声。本义:眼睫毛) 同本义；迅速而无意地眨眼"
2900,睡,shuì,sh,ui,13,目,否,否,"(会意。从目,垂声。指眼睑下垂,打瞌睡。本义:坐着打瞌睡)；同本义"
2901,睬,cǎi,c,ai,13,目,否,否,"理睬,答理"
2902,嗜,shì,sh,i,13,口,否,否,"(形声。从口,耆(shì)声。本义:爱好)；同本义；贪求；贪求的东西"
2903,鄙,bǐ,b,i,13,阝,否,否,"(形声。从邑,啚(bǐ)声。本义:五百家(周代户口单位))；同本义；采邑;小邑；边邑;边境；郊野;郊外；小;狭；见识浅薄,行为低下；粗俗,庸俗;质朴；自称的谦词；视为浅陋"
2904,嗦,suō,s,uo,13,口,否,否,"—“哆嗦”（duōsuo）发抖,战栗"
2905,愚,yú,y,u,13,心,否,否,"(会意。从心,从禺(yù)。从心,与性情有关。禺,猴属,兽之愚者。本义:愚蠢,愚昧)；同本义；又；自称之谦词；敦厚；蒙蔽;欺骗"
2906,暖,nuǎn,n,uan,13,日,否,否,"(形声。从日,爰(yuán)声。“煗”,从火,耎(ruǎn)声。本义:温度不冷也不热) 同本义；使温暖"
2907,盟,ménɡ,m,enɡ,13,皿,否,否,"(会意。甲骨文字形,下面象个盘盂,中间放着牛耳。古代盟会要割牲歃(shà)血,主盟人手执牛耳,掘穴埋牲。本义:在神前发誓结盟)；同本义；个人向天发誓,永不变心；盟约;誓辞"
2908,歇,xiē,x,ie,13,欠,否,否,"(形声。从欠。曷(hé)声。歇息与出气有关,故从“欠”。本义:休息)；同本义(侧重于放松身体的紧张状态以消除疲劳)；停止,中止活动；留宿 。在旅店等处住宿；竭,尽,到了尽头；凋零,花、木、草枯萎；气味散发;消散；曾经；表示动作次数,相当于“番”、“次”；表示一段时间,相当于“一会儿”"
2909,暗,àn,,an,13,日,否,否,"(形声。从日,音声。本义:昏暗)；同本义。与“明”相对；昏昧,愚昧;不明白；隐秘；默默地；秘密;暗中；天黑；使昏暗"
2910,暇,xiá,x,ia,13,日,否,否,"(形声。从日,叚(xiá)声。本义:空闲,闲暇) 同本义；——龚自珍《病梅馆记》；悠闲；从容,不慌不忙,大方自如"
2911,照,zhào,zh,ao,13,灬,否,否,"(形声。从火,昭声,字亦作炤。本义:明亮;光明) 同本义；照射,照耀；映照;反射影像；照顾;照料；察知;明白；(zhào)。显示；日光；凭据;证明；表示方向,可加助词“着”,相当于“对”、“向”；按,依。按原样或某种标准做"
2912,畸,jī,j,i,13,田,否,否,"(形声。从田,奇声。本义:零片的田地)；同本义；不整齐的,不正规的；脱俗的,超群的；单数的,奇数的。跟“双”、“偶”相对"
2913,跨,kuà,k,ua,13,足,否,否,"(形声。从足,夸声。本义:迈步,越过)；同本义；超过；骑；横于上；挎；占据；又；指两腿之间"
2914,跷,qiāo,q,iao,13,足,否,否,"(形声。从足,尧声。本义:举足)；同本义；踮起脚后跟；跛"
2915,跳,tiào / táo,t,iao,13,足,是,否,"(形声。从足,兆声。本义:跃)；同本义；——清·纪昀《阅微草堂笔记》；越过障碍 ；内动;一起一伏地跳 ；上冒;冒出 ；逃走"
2916,跺,duò,d,uo,13,足,否,否,"顿足,用脚猛力踏地"
2917,跪,ɡuì,,ɡui,13,足,否,否,"(形声。从足,危声。本义:屈膝,单膝或双膝着地,臀部抬起,伸直腰股)；同本义；指足"
2918,路,lù,l,u,13,足,否,是,"(形声。从足,各声。本义:道路)；同本义；路程;行程；引申为思想或行动的途径；车；地区;方面;路线；比喻权位；宋元时行政区域名；经过；暴露；败坏"
2919,跤,jiāo,j,iao,13,足,否,否,跟头
2920,跟,ɡēn,,ɡen,13,足,否,否,"(形声。从足,艮(gèn)声。本义:足后为跟)；同本义；器官的基底部分。亦指物体的底部或后部；追随于后；穿着(鞋),趿；和,同"
2921,遣,qiǎn,q,ian,13,辶,否,否,(形声。从辵(chuò)。本义:释放)；同本义；派。派去；贬谪;放逐；发送;打发；抒发
2922,蜈,wú,w,u,13,虫,否,否,节肢动物，由许多环节构成，每节有脚一对，头部的脚像钩子，能分泌毒液，捕食小虫，中医入药
2923,蜗,wō,w,o,13,虫,否,否,软体动物，有螺旋形扁圆的硬壳，头部有两对触角。吃嫩叶，对农作物有害。某些种类可供食用；喻窄小的住所；软体动物，壳如笋状，螺层长，壳顶尖，生活于湖池中；软体动物，壳淡玳瑁色，壳口边缘略翻出，生活于湖溪中。亦称‘螺蛳’
2924,蛾,é / yǐ,,e,13,虫,是,否,"(形声。从虫,我声。本义:蛾子。昆虫。形似蝴蝶,体躯一般粗大,四翅,静止时平放体侧。多在夜间飞行)；同本义；蛾眉的简称"
2925,蜂,fēnɡ,f,enɡ,13,虫,否,否,"(形声。从虫,夆(fēng)声。本义:蜂,一种昆虫。有蜜蜂、胡蜂、细腰蜂等。特指“蜜蜂”)；同本义；比喻众多成群；兵器的尖端。引申为锐势,势头"
2926,蜕,tuì,t,ui,13,虫,否,否,"(形声。从虫,兑(duì)声。本义:蝉、蛇之类脱皮去壳)；蝉、蛇等脱皮。亦谓鸟换羽；尸体；动物的化石"
2927,嗅,xiù,x,iu,13,口,否,否,"(形声。从口,臭声。字本作“臭”,由“犬、自(鼻)”会意,狗的鼻子灵敏,善于闻嗅。本义:用鼻子辨别气味) 同本义"
2928,嗡,wēnɡ,w,enɡ,13,口,否,否,飞虫特有的持续刺耳声或很快的不规则的震动产生的声音；京二胡，胡琴的一种
2929,嗓,sǎnɡ,s,anɡ,13,口,否,否,喉咙；发音器官的声带及发出的声音；爱打击、揭发别人的短处或隐私；[方言]吞塞
2930,署,shǔ,sh,u,13,罒,否,否,"(形声。从网,者声。部署任务,各有系统,故从网。本义:布置;部署)；同本义；签名,签署；代理、暂任或试充官职；公署;官署。办理公务的机关"
2931,置,zhì,zh,i,13,罒,否,否,"(会意。从网直,有亦声。网直宜赦。本义:赦罪,释放)；同本义；安放;搁;摆；设置,建立,设立；豁免；废弃;舍弃；搁置;放下;放在一边；购买;置办；(zhí)。树立；古代传递文书的驿站；驿车;驿马"
2932,罪,zuì,z,ui,13,罒,否,否,"(会意。从辛,从自,言罪人蹙鼻苦辛之忧,自亦声。本义:作恶或犯法的行为)；同本义；罪人；过失;错误；刑罚；捕鱼竹网；归罪于；惩罚;治罪"
2933,罩,zhào,zh,ao,13,罒,否,否,"(形声。从网,卓声。本义:捕鱼的竹笼)；同本义；捕鸟的竹笼或掩网；覆盖;套在外面；超越"
2934,蜀,shǔ,sh,u,13,虫,否,否,"(象形。从虫。上目象蜀头形,中象其身蜎蜎。本义:蛾蝶类的幼虫；同本义；古族名、国名、郡名 ,在今四川一带；朝代名 。三国时蜀汉的简称。旧地在今四川、云南、贵州一带；中国四川省的别称"
2935,幌,huǎnɡ,h,uanɡ,13,巾,否,否,窗帘、帷幔；随意走动
2936,错,cuò,c,uo,13,钅,否,否,"(形声。从金,昔声。本义:用金涂饰,镶嵌)；同本义；互相磨擦；杂；废弃；琢玉用的粗磨石；适于磨光或磨快刀具的石头;磨石；杂乱;交错"
2937,锚,máo,m,ao,13,钅,否,否,"(形声。从金,苗声。本义:船停泊时所用的设备。一般为铁制或钢制)同本义 。如:锚具(船首两侧各有艏锚一具,另有备有锚、流锚及小型锚等);锚缆(系锚的粗绳或铁链);锚链孔(艏之两旁各有一小孔,以备起锚时将锚链由此孔收进,锚则紧贴于外之钢板上)。又指可以依靠的人或物(如在危急时)。如:我们以它作为系住灵魂的坚固牢靠的锚"
2938,锡,xī,x,i,13,钅,否,否,"化学名词。一种略带蓝色的白色光泽的低熔点金属元素,在化合物内是二价或四价,不会被空气氧化,主要以二氧化物(锡石)和各种硫化物(例如硫锡石)的形式存在 ——元素符号Sn；细麻布；给予;赐给"
2939,锣,luó,l,uo,13,钅,否,否,"带卷边的青铜圆盘 ,通常用槌子击打就发出柔和而洪亮、能传得很远的声音；又"
2940,锤,chuí,ch,ui,13,钅,否,否,"(形声。从金,垂声。本义:古代重量单位) 同本义；八铢；十二两；六铢；锤形物；打;击"
2941,锥,zhuī,zh,ui,13,钅,否,否,"(形声。从金,隹(zhuī)声。本义:钻孔的工具)；同本义；形如尖锥的东西；用锥刺"
2942,锦,jǐn,j,in,13,钅,否,否,"(形声。从帛,金声。本义:有彩色花纹的丝织品)；同本义；比喻鲜艳华美的"
2943,键,jiàn,j,ian,13,钅,否,否,"(形声。从金,建声。本义:鼎上贯通两耳的横杠)；同本义；车辖。安在车轴两端,管住车轮不脱离轴的铁棍；钥匙；竖着插的门闩；锁簧,也称“锁须”；“关”、“键”连用,泛指门闩,后来比喻事物中最紧要的部分,起决定性的因素；闩门"
2944,锯,jù,j,u,13,钅,否,否,"(形声。从金,居声。本义:析解木石等的齿形工具)；同本义；古刑具；用锯子切割"
2945,锰,měnɡ,m,enɡ,13,钅,否,否,"一种灰白色多价金属元素,通常硬而脆,类似铁但无磁性 ——元素符号为Mn"
2946,矮,ǎi,,ai,13,矢,否,否,"(形声。从矢,委声。本义:身材短)；同本义(古汉语多用短,少用矮)；低,不高；情感不高尚的;卑下的"
2947,辞,cí,c,i,13,辛,否,否,"(会意。本义:诉讼,打官司)；同本义；口供；言辞;文辞；又；特指政令之词；借口,口实；中国古代一种介于诗歌和散文之间的体裁,也叫赋,或辞赋并称；说讲；辞别;告别；推却不受；审讯；遣去"
2948,稚,zhì,zh,i,13,禾,否,否,"(形声。从禾,隹(zhuī)声。本义:晚植的谷类。引申为幼禾)；同本义；孩子,儿童；幼小;年幼(含有晚出生的意思,与“长”相对)；物体细小；古称妇女年不到五十；晚;暮；骄傲放纵;傲慢；姓"
2949,稠,chóu,ch,ou,13,禾,否,否,"(形声。从禾,周声。本义:禾多而密)；多；繁密；亦作“绸”"
2950,颓,tuí,t,ui,13,页,否,否,"(会意。从页（xié）,从秃。页,人头。本义:头秃。原作“穨”)；同本义。本作“跕”；委靡,消沉；詈词。恶劣之意；下坠。也作“隤”；也指暴风从上而下；倾斜;衰败；坍塌,崩坏；衰微;衰败;敝败；雄马生殖器；颊下"
2951,愁,chóu,ch,ou,13,心,否,否,"(形声。从心,秋声。字亦作“愀”。本义:忧虑,发愁)；同本义；使受苦"
2952,筹,chóu,ch,ou,13,竹,否,否,"(形声。从竹,夀声。本义:计数的用具)；壶矢。古代投壶用的签子,形如箭笴；签筹;算筹 。木或象牙等制成的小棍儿或小片儿,用来计数或作为领取的物品的凭证；算计；策划；条,个,位。用以指人的多少"
2953,签,qiān,q,ian,13,竹,否,否,"(形声。从竹,佥声。本义:署名押字)；公文体制的一种；标识,标签"
2954,简,jiǎn,j,ian,13,竹,否,是,"(形声。从竹,间声。本义:竹简。古代书写了文字的狭长竹片)；同本义。战国至魏晋时代的书写材料,是削制成的狭长竹片或木片,竹片称“简”,木片称“札”或“牍”,统称为“简”。若干简编缀在一起的叫“策”(册)；书籍;信札；古兵器。鞭类；水名 。古黄河下游的支流之一,故道约在今山东省阳信县、栗陵县境；简省;简易;简单；大；选择；检查;检验；谏诤,直言规劝"
2955,筷,kuài,k,uai,13,竹,否,否,夹饭或其他东西用的一对细棍儿
2956,毁,huǐ,h,ui,13,殳,否,否,"(形声。从“土”,表示与瓦器有关。本义:瓦器缺损)；毁坏;破坏；哀毁,旧指居丧时因悲哀过度而损害健康；废除,除去；败坏;灭；掉落；毁谤"
2957,舅,jiù,j,iu,13,臼,否,否,"(形声。从男,臼声。本义:舅父,指母之兄或弟)；同本义；称妻之父；古时天子称异姓大邦诸侯为伯舅,异姓小邦诸侯为叔舅。又诸侯称异姓大夫为舅"
2958,鼠,shǔ,sh,u,13,鼠,否,否,"(象形。头部象锐利的鼠牙,下象足、脊背、尾巴形。本义:老鼠)；同本义；十二生肖之一；,忧;病"
2959,催,cuī,c,ui,13,亻,否,否,"(形声。从人,崔声。本义:催促,促使) 同本义"
2960,傻,shǎ,sh,a,13,亻,否,否,"头脑蠢笨,不谙事理,缺乏想象力"
2961,像,xiànɡ,x,ianɡ,13,亻,否,否,"(形声。从人,从象,象亦声。本义:相貌相似)；同本义；模拟；仿效；依随,顺遂；立像,或比照人物形象绘画或雕塑图像；雕像；法式"
2962,躲,duǒ,d,uo,13,身,否,否,"(形声。从身,朵声。①本义:身。②避开,隐匿)"
2963,魁,kuí,k,ui,13,鬼,否,否,"(形声。从斗,鬼声。“斗”,长柄酒勺。本义:汤勺,调羹。长柄大头)；同本义；古星名。北斗七星的第一至第四星,一说为北斗第一星；首领,领头人；小丘；居首位,第一；高大,壮伟"
2964,衙,yá,y,a,13,彳,否,否,"(形声。从行,吾声。(yú)本义:列队行进的样子)；旧时官署之称；唐代谓天子所居之处；衙参；坐衙,官吏坐堂审案；姓"
2965,微,wēi,w,ei,13,彳,否,是,"(会意。从彳(chì);--(wēi)声。本义:隐秘地行走)；同本义；藏匿,隐蔽；衰微,衰落；非,不是；微小;轻微；卑贱；日月亏缺的；秘密,偷偷；精妙；稍微,稍稍；要没有,要不是；古单位名；古代极小的量度单位。一寸的百分之一,或一两的百万分之一；角度、弧度的单位,一秒的六十分之一；秘密之事；古诸侯国名；殷代畿内之封地；殷周时西南夷之国"
2966,愈,yù,y,u,13,心,否,否,"(形声。从心,俞声。本义:病好了。这个意义后来又写作“瘉”、“癒”) 同本义；胜过；更加;越发"
2967,遥,yáo,y,ao,13,辶,否,否,(形声。从辵(chuò))；同本义；时间长；飘荡
2968,腻,nì,n,i,13,月,否,否,"(形声。从肉,贰(èr)声。本义:肥)；同本义；细腻；厌烦；积污垢；油腻"
2969,腰,yāo,y,ao,13,月,否,否,"(形声。从肉,要声。本作“要”。本义:紧接肋或胸以下的部分;胸和髋之间的身体的一部分)；同本义；指某物的中部或中间部分；佩在腰上"
2970,腥,xīnɡ,x,inɡ,13,月,否,否,"腥气,泛指肉鱼、类及油脂的臭气味；病猪肉中像星或米粒的息肉；生肉；丑恶"
2971,腮,sāi,s,ai,13,月,否,否,颊 。亦称“腮巴”、“腮巴子”、“腮斗”、“腮颊”、“腮帮”、“腮帮子”；水生动物的呼吸器官
2972,腹,fù,f,u,13,月,否,否,"(形声。从肉,复声。此为后起形声字,初文应即“畐”(fú)字,象人腹部之形。本义:肚子)；同本义；内心；怀抱；容纳"
2973,腺,xiàn,x,ian,13,月,否,否,"生物体内能分泌某些化学物质的组织 。由腺细胞组成,如人体内的唾液腺、汗腺、胰腺、甲状腺、肾上腺等"
2974,鹏,pénɡ,p,enɡ,13,鸟,否,否,"(形声。从鸟,朋声。“鹏”是传说中最大的一种鸟,由鲲变化而成。本义:大鹏)；同本义；比喻前程远大"
2975,腾,ténɡ,t,enɡ,13,月,否,否,"(形声。从马,朕(zhèn)声。本义:马奔腾)；同本义；奔驰；跳跃；使房屋空出；升入空中;上升；传递；翻腾；驾;乘；凌驾"
2976,腿,tuǐ,t,ui,13,月,否,否,胫和股的总称 。人和动物主要用来支承身体并使身体从一点移到另一点(特别是以行走的方式)的肢体之一
2977,鲍,bào,b,ao,13,鱼,否,是,"盐腌的鱼；鲍鱼,鳆鱼的别名。即石决明 。腹足纲软体动物,海味珍品,贝壳入药；腹足纲前鳃亚纲鲍科鲍属海产贝类；姓"
2978,猿,yuán,y,uan,13,犭,否,否,"(形声。从犬,袁声。猿似犬,故从犬。本义:灵长类动物,形态与猴相似) 同本义"
2979,颖,yǐnɡ,y,inɡ,13,页,否,否,"(形声。从禾,顷声。从禾与农作物有关。本义:谷穗。亦称“颖片”。指禾本科植物小穗基部的二枚苞片)；同本义；锥芒；聪敏"
2980,触,chù,ch,u,13,角,否,否,"(形声。从角,蜀声。本义:以角撞物)；用角抵人或物；撞,碰；遇到;遭受；干犯,冒犯；佛家语。与色、声、香、味、法合称“六尘”；姓"
2981,解,jiě / jiè / xiè,j,ie,13,角,是,是,"(会意。从刀,从牛,从角。表示用刀把牛角剖开。本义:分解牛,后泛指剖开)；同本义；解体,离散；分解,熔化；解除,解围；解开；解释,说明；晓悟;明白；脱去;松开；打开,开放；缓解；助动词。能,会,得；道家以为修道者死后魂魄脱离尸体而成仙,称为“尸解”；见解,见识"
2982,煞,shā / shà,sh,a,13,灬,是,否,"弄死,杀死；停止;结束；削弱,损坏；甚么,啥"
2983,雏,chú,ch,u,13,隹,否,否,"(形声。从隹(zhuī),刍声。本义:小鸡)；同本义；引申为幼禽；幼小的动物；幼儿"
2984,馍,mó,m,o,13,饣,否,否,面制食品，北方地区特指馒头。用酵母或发粉制成的面食，通常指馒头
2985,馏,liù / liú,l,iu,13,饣,是,否,加热使液体化成蒸气以分离液体混合物
2986,酱,jiànɡ,j,ianɡ,13,酉,否,否,"(会意。从肉,从酉。酒以和酱也。爿声。古文从酉,爿声。籀文从酉,从皿,爿声。本义:用盐醋等调料腌制而成的肉酱)；用麦、面、豆等发酵制成的调味品"
2987,禀,bǐnɡ,b,inɡ,13,示,否,否,(会意。禀为禀的俗字。本义:给予谷物)；同本义；赋予;给与；承受；报告
2988,痹,bì,b,i,13,疒,否,否,"(形声。从疒(chuáng),畀(bì)声。本义:痹症。中医指由风、寒、湿等引起的肢体疼痛或麻木的病) 同本义；气郁闷"
2989,廓,kuò,k,uo,13,广,否,否,"(形声。从广(yǎn),郭声。“广”甲骨文、金文象屋墙屋顶形,这里表示与建筑物有关。本义:通“郭”。外城)；同本义；物体的外缘；大,广大;空阔；空寂;孤独；开拓,扩大；清除"
2990,痴,chī,ch,i,13,疒,否,否,"(形声。从疒(chuáng),疑声。本义:不聪慧;迟钝)；同本义；疯癫,癫狂；发呆；颠狂病"
2991,痰,tán,t,an,13,疒,否,否,气管、支气管或肺泡黏膜分泌出来的黏液
2992,廉,lián,l,ian,13,广,否,是,"(形声。从广(yǎn),兼声。从“广”,表示与房屋有关。本义:厅堂的侧边)；同本义；边；棱角。亦指物体露出棱角;有棱角；旧称有节操、不苟取的人；正直;刚直;品行方正；廉洁；又；狭窄；考察,视察；绝,断"
2993,靖,jìnɡ,j,inɡ,13,青,否,否,"(形声。从立,青声。本义:立容安静)；同本义；安定;和平；善；细小；谦卑恭敬的样子；使安定；止息；平定；治理；思念；立；图谋；表彰"
2994,新,xīn,x,in,13,斤,否,否,"(形声。从斤,从木,辛声。据甲骨文,左边是木,右边是斧子。指用斧子砍伐木材。本义:用斧子砍伐木材。“新”是“薪”的本字)；砍伐树木；更新,使之新；初次出现。与“旧”相对；新洁;新鲜;清新；开始的；结婚或结婚不久；没有用过的；新近;刚刚；指刚收获的粮食或蔬菜等；朝代名 。汉王莽初封新都侯,初始元年(公元八年)代汉称帝,国号新,建都长安(今陕西西安)。更始元年(公元23年)为绿林农民起义军所灭；柴薪；新的人或事物；姓"
2995,韵,yùn,y,un,13,音,否,否,"(形声。从音,员(匀)声。本义:和谐悦耳的声音)；同本义；美,标致"
2996,意,yì,y,i,13,心,否,否,(会意。从心从音。本义:心志。心意)；同本义；意志;愿望。亦引申为志向；胸怀;内心；情意;感情；意气; 气势；意图；神情、态度；意料;猜测；怀疑
2997,誊,ténɡ,t,enɡ,13,言,否,否,照原稿抄写清楚
2998,粮,liánɡ,l,ianɡ,13,米,否,否,"(形声。从米,量声。本义:旅行用的干粮;行军作战用的军粮)；同本义；桂馥曰:“谷也者,非古训。糧乃行者之干食。”；又；引申指谷类;粮食；田赋"
2999,数,shù / shǔ / shuò,sh,u,13,攵,是,否,"(形声。从攴(pū),娄声。本义:点数;计算)；同本义；枚举;列举；数落;责备；诉说,称说"
3000,煎,jiān,j,ian,13,灬,否,否,"(形声。从火,前声。“火”字写在下面时常变形成为四点。本义:煎熬)；同本义；比喻折磨;使其痛苦；一种烹饪方法。锅里放油加热后,把食物放进去,使表面变成焦黄；消熔"
3001,塑,sù,s,u,13,土,否,否,"(形声。从土,朔(sù)声。本义:用泥土抟成人物形象)；同本义；呆愣；垒砌"
3002,慈,cí,c,i,13,心,否,否,"(形声。从心,兹声。本义:慈爱)；同本义；对父母孝敬奉养"
3003,煤,méi,m,ei,13,火,否,否,"(形声。从火,某声。本义:烟尘)；指墨"
3004,煌,huánɡ,h,uanɡ,13,火,否,否,"(形声。从火,皇声。“皇”亦兼表字义。本义:光明;光亮)；同本义；有火光的,闪耀的"
